Airport,OpenHour,CloseHour
EDDE,240,1200
EDDI,240,1200
EDDL,180,1320
EDDV,180,1380
EFHK,180,1380
EGAC,300,1260
EGJB,300,1260
EGJJ,240,1260
EGNM,300,1380
EHBK,240,1260
EKCH,120,1380
ELLX,240,1320
ENBR,240,1320
ENGM,240,1320
ENZV,180,1380
ESGG,180,1320
ESSB,240,1200
EYVI,240,1200
GCFV,360,1320
GCRR,360,1380
LEMH,300,1380
LFPB,240,1320
LFST,240,1260
LHBP,240,1320
LIML,240,1320
LIRF,240,1320
LIRN,240,1320
LIRQ,240,1320
LOWS,240,1260
LOWW,120,1380
FEFF,300,1320
LEBB,285,1290
LFBD,240,1260
EDDW,240,1230
LFSB,240,1320
LFPG,255,1290
EDDF,240,1260
LSGG,240,1320
EDDH,240,1260
EGLL,300,1350
LPPT,240,1320
EGGW,300,1320
LFLL,255,1215
LFML,255,1275
EDDM,180,1320
LFMN,255,1290
RJAA,720,300
LFRS,180,1230
LPPR,240,1320
LFPO,255,1290
LFBP,240,1260
EGHI,300,1320
EDDS,240,1290
LEZL,270,1380
LIMF,240,1260
EDDT,240,1290
EPWA,210,1290
CYUL,600,150
LSZH,240,1320
